3.87,3.72,3.43,2.95,2.39,1.79,1.05,0.65,0.45,0.27
4.01,3.85,3.52,3.02,2.34,1.68,0.98,0.52,0.37,0.25
4.26,4.13,3.8,3.18,2.32,1.47,0.63,0.32,0.23,0.2
4.67,4.66,4.28,3.48,2.41,1.19,0.16,0.15,0.16,0.15
5.08,5.46,5.22,3.91,2.64,1.28,0.59,0.28,0.19,0.16
5.12,5.55,5.08,3.97,2.6,1.5,0.64,0.3,0.19,0.13
4.72,4.77,4.42,3.54,2.4,1.01,0.18,0.15,0.35,0.13
4.28,4.18,3.8,3.08,2.16,1.17,0.44,0.31,0.23,0.18
3.96,3.18,3.52,2.69,2.15,1.47,0.89,0.54,0.36,0.21
